Pub year,Reference,Article title,Region,Location,State,year,Soil type,Clay content,Sand content,pH,Tair,Annual Prec.,Precipitation,ETP (may-oct),PREC/ETP,Type_syn,Application amount,Type_org,Application amount.org,cum. N2O,Control N2O,EF,Length of exp,Replication of flux samples,Measurements,Crop,Crop type
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2010,Silty clay loam,,,6.2,10.98,,578.8,656,0.88,"UAN, 28% N ",90,,,0.5074,0.33,0.001971111,118,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2010,Silty clay loam,,,6.2,10.98,,578.8,656,0.88,"UAN, 28% N ",180,,,0.944,0.33,0.003411111,118,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2011,Silty clay loam,,,6.3,11.29,,517.3,638,0.81,"UAN, 28% N ",90,,,1.2125,0.5335,0.007544444,97,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2011,Silty clay loam,,,6.3,11.29,,517.3,638,0.81,"UAN, 28% N ",180,,,2.2795,0.5335,0.0097,97,4,,maize,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,,,Anaerobically digester fiber (DF),336,0.02,0.024,-1.19E-05,117,4,14,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,Urea,336,,,0.017,0.016,2.98E-06,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Anaerobically digester fiber (DF),336,0.028,0.016,3.57E-05,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Anaerobic digested dairy manure slurry (DE),336,0.03,0.016,4.17E-05,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Raw liquid manure (LM),336,0.05,0.016,0.00010119,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,Urea,336,,,0.064,0.024,0.000119048,117,4,14,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,,,Anaerobic digested dairy manure slurry (DE),336,0.066,0.024,0.000125,117,4,14,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,,,Raw liquid manure (LM),336,0.094,0.024,0.000208333,117,4,14,Silage corn,Annual
2008,"Dusenbury, Engel, Miller, Lemke, Wallander",Nitrous oxide emissions from a Northern Great Plains Soil as influenced by nitrogen management and cropping systems,North,Bozeman,Montana,2004,Silt loam,86,88,7.2,4.35,,248,636,0.39,Urea,200,,,0.051,0.031,0.0001,70,4,,Spring wheat,Annual
2008,"Dusenbury, Engel, Miller, Lemke, Wallander",Nitrous oxide emissions from a Northern Great Plains Soil as influenced by nitrogen management and cropping systems,North,Bozeman,Montana,2004,Silt loam,86,88,7.2,4.35,,248,636,0.39,Urea,100,,,0.084,0.031,0.00053,70,4,,Spring wheat,Annual
2008,"Dusenbury, Engel, Miller, Lemke, Wallander",Nitrous oxide emissions from a Northern Great Plains Soil as influenced by nitrogen management and cropping systems,North,Bozeman,Montana,2005,Silt loam,86,88,7.2,4.2,,273,654,0.42,Urea,200,,,0.387,0.045,0.00171,70,4,,Spring wheat,Annual
2008,"Dusenbury, Engel, Miller, Lemke, Wallander",Nitrous oxide emissions from a Northern Great Plains Soil as influenced by nitrogen management and cropping systems,North,Bozeman,Montana,2005,Silt loam,86,88,7.2,4.2,,273,654,0.42,Urea,100,,,0.441,0.045,0.00396,70,4,,Spring wheat,Annual
2016,Fernandez F.G.; Venterea R.T.; Fabrizzi K.P.,Corn Nitrogen Management Influences Nitrous Oxide Emissions in Drained and Undrained Soils,North,Wells,Minnesota,"2014, 2016",Clay loam,,,5.9,7.16,,653,631,1.03,Urea + urease inihibitor (Split app : 45+90),135,,,1.84,1.17,0.004962963,158,4,28,Corn,Annual
2016,Fernandez F.G.; Venterea R.T.; Fabrizzi K.P.,Corn Nitrogen Management Influences Nitrous Oxide Emissions in Drained and Undrained Soils,North,Wells,Minnesota,"2014, 2015",Clay loam,,,5.9,7.16,,653,631,1.03,Urea (Single app.),135,,,2.48,1.17,0.009703704,158,4,28,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2017,Silt loam,300,150,6.1,10.9,1051,445,643,0.69,Urea+nitrification+urease inhibitors,202,,,3.06,3.13,-0.000346535,142,4,28,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2016,Silty clay loam,315,100,6.8,10.9,1051,657,643,1.02,Urea-ammonium nitrate+nitrapyrin,202,,,1.55,1.19,0.001782178,152,4,31,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2017,Silt loam,300,150,6.1,10.9,1051,445,643,0.69,Urea-ammonium nitrate+nitrapyrin,202,,,3.86,3.13,0.003613861,142,4,28,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2015,Silt loam,340,90,6.3,10.9,1051,733,643,1.14,Urea+nitrification+urease inhibitors,202,,,1.48,0.72,0.003762376,141,4,25,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2015,Silt loam,340,90,6.3,10.9,1051,733,643,1.14,Ammonia,202,,,1.55,0.72,0.004108911,141,4,25,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2016,Silty clay loam,315,100,6.8,10.9,1051,657,643,1.02,Urea+nitrification+urease inhibitors,202,,,2.68,1.19,0.007376238,152,4,31,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2016,Silty clay loam,315,100,6.8,10.9,1051,657,643,1.02,Polymer coated urea,202,,,2.98,1.19,0.008861386,152,4,31,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2015,Silt loam,340,90,6.3,10.9,1051,733,643,1.14,Polymer coated urea,202,,,3.17,0.72,0.012128713,141,4,25,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2017,Silt loam,300,150,6.1,10.9,1051,445,643,0.69,Polymer coated urea,202,,,6.25,3.13,0.015445545,142,4,28,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2015,Silt loam,340,90,6.3,10.9,1051,733,643,1.14,Urea-ammonium nitrate+nitrapyrin,202,,,5.37,0.72,0.023019802,141,4,25,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2016,Silty clay loam,315,100,6.8,10.9,1051,657,643,1.02,Ammonia,202,,,6.28,1.19,0.02519802,152,4,31,Corn,Annual
2018,Graham R.F.; Greer K.D.; Villamil M.B.; Nafziger E.D.; Pittelkow C.M.,Enhanced-efficiency fertilizer impacts on yield-scaled nitrous oxide emissions in maize,North,Urbana,Illinois,2017,Silt loam,300,150,6.1,10.9,1051,445,643,0.69,Ammonia,202,,,9.78,3.13,0.032920792,142,4,28,Corn,Annual
2015,Guzman J.; Al-Kaisi M.; Parkin T.,Greenhouse gas emissions dynamics as influenced by corn residue removal in continuous corn system,North,Central Iowa (Ames central site),Iowa,2009,Clay loam,,,,8.7,975,666,624,1.07,UAN,170,,,5.04,1.33,0.021823529,200,3,15,Corn,Annual
2015,Guzman J.; Al-Kaisi M.; Parkin T.,Greenhouse gas emissions dynamics as influenced by corn residue removal in continuous corn system,North,Central Iowa (Ames central site),Iowa,2010,Clay loam,,,,8.7,975,967,647,1.49,UAN,170,,,5.35,1.33,0.023647059,210,3,14,Corn,Annual
2015,Guzman J.; Al-Kaisi M.; Parkin T.,Greenhouse gas emissions dynamics as influenced by corn residue removal in continuous corn system,North,Central Iowa (Ames central site),Iowa,2009,Clay loam,,,,8.7,975,666,624,1.07,UAN,280,,,9.17,1.33,0.028,200,3,15,Corn,Annual
2015,Guzman J.; Al-Kaisi M.; Parkin T.,Greenhouse gas emissions dynamics as influenced by corn residue removal in continuous corn system,North,Central Iowa (Ames central site),Iowa,2010,Clay loam,,,,8.7,975,967,647,1.49,UAN,280,,,9.8,1.33,0.03025,210,3,14,Corn,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2007,Clay loam,334,402,8,10.6,383,286,673,0.42,SuperU,56,,,0.239,0.206,0.000589286,158,6,,dry bean,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2008,Clay loam,334,402,8,10.6,383,290,659,0.44,SuperU,246,,,0.369,0.143,0.000918699,160,6,,corn,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2007,Clay loam,334,402,8,10.6,383,286,673,0.42,Urea,56,,,0.332,0.206,0.00225,158,6,,dry bean,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2008,Clay loam,334,402,8,10.6,383,290,659,0.44,Urea,246,,,0.795,0.143,0.002650407,160,6,,corn,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2007,Clay loam,321,402,7.79,10.6,383,286,673,0.42,SuperU,157,,,0.654,0.151,0.003203822,158,6,,barley,Annual
2010,Halvorson A.D.; Del Grosso S.J.; Alluvione,Tillage and Inorganic Nitrogen Source Effects on Nitrous Oxide Emissions from Irrigated Cropping Systems,South,Fort Collins,Colorado,2007,Clay loam,321,402,7.79,10.6,383,290,673,0.43,Urea,157,,,0.806,0.151,0.004171975,158,6,,barley,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Stockbridge,Michigan,2008,Loam soil,,,6.3,8.3,745,505,631,0.8,Urea,90,,,0.751,0.714,0.000411111,153,4,14,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Stockbridge,Michigan,2008,Loam soil,,,6.3,8.3,745,505,631,0.8,Urea,45,,,0.751,0.714,0.000822222,153,4,14,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Reese,Michigan,2008,Loam soil,,,7.5,8.3,777,536,613,0.87,Urea,225,,,0.882,0.567,0.0014,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Mason,Michigan,2007,Sandy loam,,,6.6,8.3,736,458,627,0.73,Urea,90,,,0.7,0.535,0.001833333,153,4,24,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2007,Loam soil,,,6.6,9.6,906,429,649,0.66,Urea,45,,,0.414,0.329,0.001888889,153,4,18,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Fairgrove,Michigan,2008,Loam soil,,,7.6,8.3,777,536,613,0.87,Urea,45,,,0.75,0.647,0.002288889,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Reese,Michigan,2008,Loam soil,,,7.5,8.3,777,536,613,0.87,Urea,135,,,0.917,0.567,0.002592593,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Fairgrove,Michigan,2008,Loam soil,,,7.6,8.3,777,536,613,0.87,Urea,180,,,1.127,0.647,0.002666667,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Fairgrove,Michigan,2008,Loam soil,,,7.6,8.3,777,536,613,0.87,Urea,135,,,1.029,0.647,0.00282963,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Reese,Michigan,2008,Loam soil,,,7.5,8.3,777,536,613,0.87,Urea,180,,,1.108,0.567,0.003005556,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2008,Loam soil,,,6.8,9.6,1156,779,631,1.23,Urea,45,,,0.534,0.397,0.003044444,153,4,16,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2007,Loam soil,,,6.6,9.6,906,429,649,0.66,Urea,90,,,0.629,0.329,0.003333333,153,4,18,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Reese,Michigan,2008,Loam soil,,,7.5,8.3,777,536,613,0.87,Urea,90,,,0.877,0.567,0.003444444,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2007,Loam soil,,,6.6,9.6,906,429,649,0.66,Urea,135,,,0.814,0.329,0.003592593,153,4,18,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Fairgrove,Michigan,2008,Loam soil,,,7.6,8.3,777,536,613,0.87,Urea,225,,,1.461,0.647,0.003617778,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2008,Loam soil,,,6.8,9.6,1156,779,631,1.23,Urea,180,,,1.061,0.397,0.003688889,153,4,16,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Mason,Michigan,2007,Sandy loam,,,6.6,8.3,736,458,627,0.73,Urea,135,,,1.088,0.535,0.004096296,153,4,24,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2007,Loam soil,,,6.6,9.6,906,429,649,0.66,Urea,180,,,1,0.329,0.004122222,153,4,18,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Mason,Michigan,2007,Sandy loam,,,6.6,8.3,736,458,627,0.73,Urea,225,,,1.55,0.535,0.004511111,153,4,24,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Fairgrove,Michigan,2008,Loam soil,,,7.6,8.3,777,536,613,0.87,Urea,90,,,1.069,0.647,0.004688889,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2007,Loam soil,,,6.6,9.6,906,429,649,0.66,Urea,225,,,1.643,0.329,0.00584,153,4,18,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,Reese,Michigan,2008,Loam soil,,,7.5,8.3,777,536,613,0.87,Urea,45,,,0.842,0.567,0.006111111,153,4,17,Corn ,Annual
2011,Hoben J.P.; Gehl R.J.; Millar N.; Grace P.R.; Robertson G.P.,Nonlinear nitrous oxide (N2O) response to nitrogen fertilizer in on-farm corn crops of the US Midwest,North,KBS,Michigan,2008,Loam soil,,,6.8,9.6,1156,779,631,1.23,Urea,90,,,0.952,0.397,0.006166667,153,4,16,Corn ,Annual
